Museum,Num,Subspecies,Sex,Locality,region,Type,Island,lat,long,CPL,CIL,UTL,MTL,EPL,PPL,EB,MB,LB,LIB,ZB,BB,LPL,CNL,PBPL,LTPL,LCH,MH,MCH,MCW,MCIL,LTL
FMNH,141463,T. m. caedis,m,"Malaysia: Sabah; Balambangan I, Selamat Darat, 30m",Balambangan,,Balambangan,7.25,116.9,35.16,34.73,18.42,12.74,23.69,19.21,8.62,15.38,14.25,11.31,20.15,16.29,37.63,34.47,23.18,14.83,9.33,11.44,7.26,2.32,26.4,17.14
FMNH,141464,T. m. caedis,f,"Malaysia: Sabah; Balambangan I, Selamat Darat, 30m",Balambangan,,Balambangan,7.25,116.9,33.83,33.6,17.85,12.7,24,18.74,8.77,14.68,,10.81,18.78,15.67,36.25,33.06,22.34,14.03,9.41,9.81,6.33,2.17,25.87,16.99
BMNH,3.251,T. m. malaccana,m,"Talum, Perak",W,,Malay Peninsula,4.31,101.32,34.42,34.3,17.69,12.26,,18.87,,14.39,14.25,11.25,20.65,16.76,37.2,34.2,22.62,13.73,9.57,10.83,6.89,2.71,26.23,16.66
BMNH,5.1278,T. m. malaccana,m,Kangka Aming Johore,S,,Malay Peninsula,1.56,103.59,33.66,33.22,17.19,12.04,,18.04,,14.98,14.48,11.59,20.39,16.56,36.07,32.94,22.27,13.82,9.41,11.06,6.88,2.41,25.67,
BMNH,8.72011,T. m. malaccana,m,"Semangko Pass, Selangor",W,,Malay Peninsula,3.7,101.75,,,17.23,12.03,,18.22,,,14.07,11.51,,15.59,34.77,,21.44,13.06,,10.5,7.02,2.57,26.2,16.61
BMNH,8.72013,T. m. malaccana,f,"C(G)heras, Selangor",W,,Malay Peninsula,3.07,101.77,32.51,32.45,17.09,,,17.86,,13.97,14.11,11.52,20.1,16.63,35.39,32.15,21.9,13.44,9.04,10.14,6.66,2.51,25.17,16.21
BMNH,10.4576,T. m. minor,m,"Karanginl(t)on, Martapoera R., S. Borneo",SE,,Borneo,-3.65,115.4,33.08,32.69,,,,18.27,,14.39,13.4,11.09,,16.25,35.6,32.7,21.94,13.59,9.89,10.11,6.83,2.34,25.61,16.63
BMNH,10.4577,T. m. minor,f,"Karanginl(t)on, Martapoera R., S. Borneo",SE,,Borneo,-3.65,115.4,32.04,31.78,16.85,11.4,,17.65,,14.24,12.51,10.42,18.67,16,34.19,31.3,21.14,12.88,9.38,9.66,6.18,1.93,24.38,15.81
BMNH,10.4579,T. m. minor,m,"Poerock Tjahoe, Barito R., S. C. Borneo",S,,Borneo,-0.58,114.58,32.42,32.6,16.92,11.52,,17.51,,13.74,13.69,11.11,18.95,16.4,34.9,31.73,21.35,13,9.3,10.35,6.86,2.16,25.2,15.9
BMNH,19.11525,T. m. humeralis,m,"Pasei Gauling, W. Coast",Sumatra,,Sumatra,x,x,,,,12.41,,,,,,,,,,,,,,,,,,16.02
BMNH,40.363,T. m. humeralis,m,"Anci Kloof, W. Sumatra",W,,Sumatra,-0.75,100.31,,,18.02,12.52,,18.65,,,14.54,11.7,,16.12,36.6,,23.25,14.42,,,,,,16.83
